text,bio,pola
英 寸 液 晶 屏 显 示 效 果 出 色,O O B-ASP I-ASP I-ASP O O O O O O,0 0 1 1 1 0 0 0 0 0 0
清 晰 度 高,B-ASP I-ASP I-ASP O,1 1 1 0
画 面 真 实,B-ASP I-ASP O O,1 1 0 0
液 晶 屏 显 示 效 果 也 不 俗,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 1 1 1 0 0 0
的 微 距 值 得 称 道,O B-ASP I-ASP O O O O,0 1 1 0 0 0 0
轻 薄 小 巧 的 机 身 不 易 握 持,O O O O O B-ASP I-ASP O O O O,0 0 0 0 0 -1 -1 0 0 0 0
且 光 滑 的 金 属 镜 头 滑 盖 易 留 下 手 指 纹,O O O O O O B-ASP I-ASP I-ASP I-ASP O O O O O O,0 0 0 0 0 0 -1 -1 -1 -1 0 0 0 0 0 0
且 按 钮 比 较 小,O B-ASP I-ASP O O O,0 -1 -1 0 0 0
镜 头 口 径 小,B-ASP I-ASP I-ASP I-ASP O,-1 -1 -1 -1 0
对 焦 速 度 慢,B-ASP I-ASP I-ASP I-ASP O,-1 -1 -1 -1 0
拍 摄 的 照 片 噪 点 相 对 较 多,O O O O O B-ASP I-ASP O O O O,0 0 0 0 0 -1 -1 0 0 0 0
特 别 是 微 距 不 错,O O O B-ASP I-ASP O O,0 0 0 1 1 0 0
效 果 特 清 晰,B-ASP I-ASP O O O,1 1 0 0 0
效 果 还 是 不 错 的,B-ASP I-ASP O O O O O,1 1 0 0 0 0 0
效 果 还 是 不 错 的,B-ASP I-ASP O O O O O,1 1 0 0 0 0 0
第 一 个 缺 点 就 是 风 景 照 很 差,O O O O O O O B-ASP I-ASP I-ASP O O,0 0 0 0 0 0 0 -1 -1 -1 0 0
另 外 一 个 非 常 大 的 缺 陷 就 是 便 携 性 差,O O O O O O O O O O O O B-ASP I-ASP I-ASP O,0 0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 0
节 电 池 非 常 重,O B-ASP I-ASP O O O,0 -1 -1 0 0 0
就 是 防 抖 性 非 常 非 常 差,O O B-ASP I-ASP I-ASP O O O O O,0 0 -1 -1 -1 0 0 0 0 0
但 是 就 是 因 为 功 能 太 多,O O O O O O B-ASP I-ASP O O,0 0 0 0 0 0 -1 -1 0 0
反 而 各 个 功 能 都 不 尽 人 意,O O O O B-ASP I-ASP O O O O O,0 0 0 0 -1 -1 0 0 0 0 0
的 重 量 远 远 轻 于,O B-ASP I-ASP O O O O,0 1 1 0 0 0 0
的 画 质 真 的 比 好 些,O B-ASP I-ASP O O O O O,0 1 1 0 0 0 0 0
的 手 动 比 更 加 丰 富,O B-ASP I-ASP O O O O O,0 1 1 0 0 0 0 0
仿 抖 做 的 不 是 很 好,B-ASP I-ASP O O O O O O,-1 -1 0 0 0 0 0 0
从 镜 头 上 醒 目 的 红 圈 箍 就 能 知 道 这 枚 镜 头 尊 贵 的 出 身,O B-ASP I-ASP O O O O O O O O O O O O O O O O O O O O,0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
高 速 的 数 字 影 像 处 理 器 是 佳 能 又 一 法 宝,O O O O O B-ASP I-ASP I-ASP I-ASP I-ASP O O O O O O O,0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0
佳 能 的 菜 单 总 体 来 看 界 面 友 好,O O O O O O O O O B-ASP I-ASP O O,0 0 0 0 0 0 0 0 0 1 1 0 0
内 容 十 分 详 尽,B-ASP I-ASP O O O O,1 1 0 0 0 0
